method,year,theme_id,n_members,avg_affinity,members
sbert,2019,10,3,0.707,"CVX, TXN, XOM"
sbert,2019,3,3,0.693,"BRK-B, HD, MS"
sbert,2019,5,4,0.551,"AMZN, PM, V, WMT"
sbert,2019,14,5,0.513,"AMD, CRM, KO, LLY, NEE"
sbert,2021,2,2,1.0,"GS, JPM"
sbert,2021,3,2,1.0,"GOOGL, TSLA"
sbert,2021,4,2,1.0,"INTU, TXN"
sbert,2021,5,2,1.0,"ABBV, TMO"
sbert,2021,8,2,1.0,"AMZN, AVGO"
sbert,2021,10,2,1.0,"ACN, NVDA"
sbert,2021,12,2,1.0,"PM, QCOM"
sbert,2021,14,2,1.0,"MSFT, NFLX"
sbert,2021,15,2,1.0,"MCD, PG"
sbert,2021,13,3,0.717,"RTX, SPGI, V"
sbert,2021,11,3,0.716,"CRM, KO, META"
sbert,2021,16,3,0.715,"CVX, LIN, XOM"
sbert,2021,0,3,0.712,"AAPL, COST, PEP"
sbert,2021,1,3,0.704,"AMD, MA, NEE"
sbert,2021,7,3,0.704,"GE, HD, IBM"
sbert,2021,17,3,0.697,"BAC, WFC, WMT"
sbert,2021,9,3,0.69,"BRK-B, MS, ORCL"
sbert,2021,6,4,0.583,"ABT, JNJ, MRK, UNH"
sbert,2023,0,2,1.0,"GS, JPM"
sbert,2023,2,2,1.0,"BAC, WFC"
sbert,2023,4,2,1.0,"HD, NFLX"
sbert,2023,5,2,1.0,"ADBE, INTU"
sbert,2023,8,2,1.0,"IBM, ORCL"
sbert,2023,9,2,1.0,"RTX, V"
sbert,2023,10,2,1.0,"CVX, LIN"
sbert,2023,11,2,1.0,"WMT, XOM"
sbert,2023,12,2,1.0,"CSCO, GE"
sbert,2023,16,2,1.0,"AMZN, AVGO"
sbert,2023,13,3,0.707,"AMD, LLY, MA"
sbert,2023,14,3,0.705,"AAPL, COST, NEE"
sbert,2023,6,3,0.702,"SPGI, TSLA, TXN"
sbert,2023,15,3,0.692,"ABT, PM, QCOM"
sbert,2023,1,3,0.688,"BRK-B, MS, PG"
sbert,2023,7,4,0.581,"ABBV, JNJ, MRK, UNH"
sbert,2023,3,5,0.467,"ACN, CRM, KO, META, TMO"
tfidf,2019,0,2,1.0,"KO, MA"
tfidf,2019,2,2,1.0,"GE, MCD"
tfidf,2019,3,2,1.0,"CSCO, NEE"
tfidf,2019,4,2,1.0,"PEP, V"
tfidf,2019,6,2,1.0,"MRK, UNH"
tfidf,2019,7,2,1.0,"CVX, XOM"
tfidf,2019,9,2,1.0,"COST, WMT"
tfidf,2019,11,2,1.0,"PG, PM"
tfidf,2019,14,2,1.0,"AMD, NVDA"
tfidf,2019,15,2,1.0,"AVGO, TSLA"
tfidf,2019,8,3,0.73,"AMZN, DIS, NFLX"
tfidf,2019,5,3,0.725,"ABBV, JNJ, LLY"
tfidf,2019,12,3,0.722,"LIN, RTX, TMO"
tfidf,2019,10,3,0.71,"HD, INTU, MS"
tfidf,2019,13,4,0.575,"ADBE, CRM, MSFT, ORCL"
tfidf,2019,1,6,0.473,"BAC, BRK-B, GS, JPM, SPGI, WFC"
tfidf,2021,4,2,1.0,"GS, JPM"
tfidf,2021,5,2,1.0,"PG, PM"
tfidf,2021,7,2,1.0,"IBM, MS"
tfidf,2021,9,2,1.0,"AMD, NVDA"
tfidf,2021,12,2,1.0,"ADBE, ORCL"
tfidf,2021,10,3,0.752,"AVGO, RTX, TSLA"
tfidf,2021,11,3,0.723,"GOOGL, META, MSFT"
tfidf,2021,3,3,0.72,"BAC, BRK-B, WFC"
tfidf,2021,6,3,0.711,"AAPL, DIS, NFLX"
tfidf,2021,1,6,0.543,"ABBV, ABT, JNJ, LLY, MRK, UNH"
tfidf,2021,2,4,0.538,"CVX, LIN, TMO, XOM"
tfidf,2021,0,8,0.536,"CSCO, GE, KO, MA, MCD, NEE, PEP, V"
tfidf,2021,8,5,0.477,"AMZN, COST, HD, INTU, WMT"
tfidf,2023,1,2,1.0,"RTX, SPGI"
tfidf,2023,2,2,1.0,"TSLA, TXN"
tfidf,2023,4,2,1.0,"COST, WMT"
tfidf,2023,6,2,1.0,"GS, JPM"
tfidf,2023,11,2,1.0,"CSCO, PEP"
tfidf,2023,12,2,1.0,"ADBE, CRM"
tfidf,2023,15,2,1.0,"IBM, ORCL"
tfidf,2023,10,3,0.751,"GE, MCD, NEE"
tfidf,2023,5,3,0.734,"BAC, BRK-B, WFC"
tfidf,2023,0,3,0.723,"CVX, LIN, XOM"
tfidf,2023,13,3,0.72,"GOOGL, META, MSFT"
tfidf,2023,14,3,0.704,"AMD, AVGO, NVDA"
tfidf,2023,8,3,0.701,"PG, PM, TMO"
tfidf,2023,9,3,0.701,"ACN, INTU, V"
tfidf,2023,3,4,0.56,"AAPL, AMZN, DIS, NFLX"
tfidf,2023,7,6,0.414,"ABBV, ABT, JNJ, LLY, MRK, UNH"
